Spring,2016,DAVID CULYBA,ETC,53230,PROGM FOR GAME DESIG,A,Lect,5,10,50%,14.2,4.8,4.8,4.8,4.2,4.6,3.6,4.8,4.6,4.8
Spring,2015,DAVID CULYBA,ETC,53230,PROGM FOR GAME DESIG,A,Lect,2,8,25%,11,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,4.5
Spring,2016,SHIRLEY SALDAMARCO,ETC,53312,THEME PARK DESIGN,A,Lect,7,13,54%,5,4.43,3.86,3.86,4.71,4.57,4.29,4.57,4.29,4.29
Fall,2016,SHIRLEY SALDAMARCO,ETC,53312,THEME PARK DESIGN,A,Lect,13,26,50%,7.31,4.54,3.69,4.23,4.08,4.15,4.38,4.62,4.46,4.38
Fall,2015,SHIRLEY SALDAMARCO,ETC,53312,THEME PARK DESIGN,A,Lect,11,18,61%,6.36,4.64,3.64,4.18,4.45,4.45,4.27,4.82,4.36,4.36
Spring,2016,GERARD KLUG,ETC,53371,RPG WRITING WORKSHOP,A,Lect,4,5,80%,16,4.25,3.75,4.5,4.25,4.75,3.75,4.5,4.5,4.5
Fall,2016,GERARD KLUG,ETC,53371,RPG WRITING WORKSHOP,A,Lect,3,5,60%,11,4.67,3.33,3.67,3.67,4.67,4,4,4,4.33
Spring,2015,GERARD KLUG,ETC,53371,RPG WRITING WORKSHOP,A,Lect,3,5,60%,7,4.33,4,4.67,4,4.33,4,4.33,4,4
Fall,2015,GERARD KLUG,ETC,53371,RPG WRITING WORKSHOP,A,Lect,1,4,25%,14,5,5,5,5,5,5,5,5,5
Fall,2016,THOMAS CORBETT,ETC,53399,ETC SP TOPICS,A,Lect,4,8,50%,6.5,4,3.25,3.5,4.25,3.75,4.25,4.75,4.25,3.75
Spring,2016,JESSE SCHELL,ETC,53409,GAME DESIGN,A,Lect,3,4,75%,18.67,4.33,4.67,5,5,5,5,4.33,4.67,5
Fall,2016,THOMAS CORBETT,ETC,53451,RESEARCH-ISSUES-GDEV,A,Lect,4,13,31%,14.25,5,4.75,4.25,4.75,4.5,4.75,5,4.5,4.75
Fall,2015,THOMAS CORBETT,ETC,53451,RESEARCH-ISSUES-GDEV,A,Lect,2,7,29%,9.5,4,4,4.5,5,5,4,5,5,5
Spring,2016,THOMAS CORBETT,ETC,53471,"GAME DGN, PROTYPING",1,Lect,8,23,35%,12.63,4.63,4.25,4.13,4.38,4.63,4,4.38,4.25,4.13
Spring,2015,THOMAS CORBETT,ETC,53471,"GAME DGN, PROTYPING",1,Lect,16,27,59%,12.75,4.06,3.88,3.88,3.81,4.38,4,4.44,3.94,4.06
Spring,2016,ANDREW DAVIDSON,ETC,53600,ETC COOPERATV EDCTN,A,Lect,18,25,72%,24.06,4.39,4.56,4.39,4.39,4.44,4.44,4.72,4.39,4.61
Fall,2016,ANDREW DAVIDSON,ETC,53600,ETC COOPERATV EDCTN,A,Lect,8,15,53%,27,4.38,4.5,4.5,4,4.38,4.38,4.38,4.25,4.29
Spring,2015,ANDREW DAVIDSON,ETC,53600,ETC COOPERATV EDCTN,A,Lect,17,20,85%,25.29,4.24,4.41,4.41,4.24,4.29,4.18,4.47,4.29,4.41
Fall,2015,ANDREW DAVIDSON,ETC,53600,ETC COOPERATV EDCTN,A,Lect,3,6,50%,14.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33
Fall,2014,ANDREW DAVIDSON,ETC,53600,ETC COOPERATV EDCTN,A,Lect,8,12,67%,20.75,4.5,4.88,4.75,4.25,4.38,4.5,4.75,4.5,4.63
Fall,2014,MON-CHU CHEN,ETC,53600,ETC COOPERATV EDCTN,PP,Lect,2,2,100%,27,4,3,3,3,4.5,3.5,5,4,5
Fall,2013,ANDREW DAVIDSON,ETC,53600,ETC COOPERATV EDCTN,A,Lect,6,12,50%,19.67,4.33,4.83,4.33,4.5,4.33,4.5,4.2,4.17,4.17
Fall,2012,ANDREW DAVIDSON,ETC,53600,ETC COOPERATV EDCTN,A,Lect,9,14,64%,12.67,4.56,4.56,4.56,4.56,4.67,4.33,4.44,4.22,4.33
Spring,2016,STEPHEN LIBRANDE,ETC,53603,GAME DESIGN FUND,L,Lect,6,8,75%,12.5,4.67,5,4.67,4.83,4.67,4.67,5,4.83,4.67
Spring,2015,STEPHEN LIBRANDE,ETC,53603,GAME DESIGN FUND,L,Lect,5,7,71%,14.6,4.8,5,4.6,4.8,5,5,5,5,5
Spring,2014,STEPHEN LIBRANDE,ETC,53603,GAME DESIGN FUND,L,Lect,7,8,88%,11.14,4.86,5,5,5,5,5,5,5,5
Spring,2016,CHARLES HOOVER,ETC,53604,PRODCTN & LEADERSHIP,A,Lect,4,5,80%,5.75,5,4.5,5,4.5,4.75,5,5,5,5
Fall,2016,CHARLES HOOVER,ETC,53604,PRODCTN & LEADERSHIP,A,Lect,6,6,100%,10,5,5,5,4.67,5,5,5,5,5
Spring,2015,CHARLES HOOVER,ETC,53604,PRODCTN & LEADERSHIP,A,Lect,7,10,70%,7.5,4.71,4.43,4.71,4.14,4.57,4.71,4.57,4.43,4.71
Fall,2015,CHARLES HOOVER,ETC,53604,PRODCTN & LEADERSHIP,A,Lect,2,2,100%,5,5,5,5,5,5,5,5,5,5
Spring,2014,CHARLES HOOVER,ETC,53604,PRODCTN & LEADERSHIP,A,Lect,10,11,91%,9.2,4.8,4.9,4.9,4.5,4.8,5,5,4.5,5
Fall,2014,CHARLES HOOVER,ETC,53604,PRODCTN & LEADERSHIP,A,Lect,3,3,100%,9,4.67,5,4.67,4.33,4.67,5,5,5,5
Spring,2013,CHARLES HOOVER,ETC,53604,PRODCTN & LEADERSHIP,L,Lect,8,11,73%,5.75,4.75,4.75,4.63,4.75,4.63,4.75,4.75,4.63,4.75
Fall,2013,CHARLES HOOVER,ETC,53604,PRODCTN & LEADERSHIP,A,Lect,6,7,86%,8.5,4.83,4.83,4.83,4.83,4.83,5,4.83,5,4.83
Spring,2016,SHIRLEY SALDAMARCO,ETC,53605,ETC INTERDSPY PRJ I,A,Lect,2,5,40%,27,4,4,4.5,5,4.5,4.5,4.5,4.5,4.5
Spring,2016,"VITUCCIO, R. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,B,Lect,5,6,83%,27,4,4,4,3.8,4,3.8,4.2,4,4.4
Spring,2016,"DESSLER, J. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,B,Lect,5,6,83%,27,4.8,5,4.8,5,5,4.8,5,5,4.8
Spring,2016,"SALDAMARCO, S. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,C,Lect,2,5,40%,27,4,3.5,3.5,4.5,3.5,4,5,4,3.5
Spring,2016,"DESSLER, J. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,C,Lect,2,5,40%,27,4,3,3.5,4,4,3.5,5,4,3.5
Spring,2016,MICHAEL CHRISTEL,ETC,53605,ETC INTERDSPY PRJ I,D,Lect,3,4,75%,21.67,5,5,5,5,5,5,5,5,5
Spring,2016,"VITUCCIO, R. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,E,Lect,3,6,50%,25,5,5,5,5,5,5,5,5,5
Spring,2016,"HARGER, B. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,E,Lect,3,6,50%,25,5,5,5,5,5,5,5,5,5
Spring,2016,"CHRISTEL, M. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,F,Lect,3,5,60%,27,5,5,5,5,5,5,5,5,5
Spring,2016,"YEE, S. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,F,Lect,3,5,60%,22.67,5,4.67,4.67,4.67,5,4.67,5,5,5
Spring,2016,"HARGER, B. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,G,Lect,3,6,50%,27,4,4,4,4,4.33,3.33,4.67,4.33,4
Spring,2016,"KLUG, G. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,G,Lect,3,6,50%,27,3.33,3.33,3.67,3.67,4,3,3.33,3.33,3.67
Spring,2016,"KLUG, G. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,H,Lect,6,6,100%,23.83,3.67,3.83,3.67,3.5,3.5,3.67,3.17,3.33,4.17
Spring,2016,"YEE, S. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,H,Lect,6,6,100%,23.83,4.5,3.67,3.83,3.5,3.5,3.5,4.33,4,4.33
Spring,2016,GERARD KLUG,ETC,53605,ETC INTERDSPY PRJ I,I,Lect,4,6,67%,23.75,3.5,3.5,4,3.5,3.75,3.75,3.5,3.25,3.5
Spring,2016,SHIRLEY YEE,ETC,53605,ETC INTERDSPY PRJ I,J,Lect,5,6,83%,25,4.6,4.6,4.4,4.6,4.6,4.6,4.8,4.6,4.8
Spring,2016,"HARGER, B. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,K,Lect,3,5,60%,25,4.67,4.67,4.67,5,4.67,4.67,5,4.67,4.67
Spring,2016,"CULYBA, D. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,K,Lect,3,5,60%,24,4.67,4.67,4.67,5,4.67,4.67,5,4.67,4.67
Spring,2016,"KELLEY, H. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,L,Lect,4,5,80%,23.25,4.75,4.75,4.75,5,4.75,4.75,5,4.75,4.5
Spring,2016,"ROSENDAHL, C. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,L,Lect,4,5,80%,23.25,4.75,5,4.75,4.75,5,4.75,4.75,5,4.75
Spring,2016,"KELLEY, H. (co-taught)",ETC,53605,ETC INTERDSPY PRJ I,M,Lect,4,5,80%,27,5,4.75,4.75,5,4.75,4.75,5,4.75,4.75
