Spring,2017,SHAWN LITSTER,MEG,24101,FUND OF MECH ENGR,1,58,114,51%,6.42,3.83,3.88,3.77,3.28,3.93,3.68,4.53,3.53,3.63
Spring,2016,PHILIP LEDUC,MEG,24101,FUND OF MECH ENGR,1,86,133,65%,6.76,3.55,3.36,3.38,3,3.57,2.97,4.17,3,3.09
Fall,2016,JACK BEUTH,MEG,24101,FUND OF MECH ENGR,1,110,125,88%,8.68,4.09,4.15,4.12,3.61,4.37,4.11,4.43,3.98,3.94
Spring,2015,ALAN MCGAUGHEY,MEG,24101,FUND OF MECH ENGR,1,57,115,50%,7.65,4.26,4.26,4.28,3.93,4.26,4.21,4.67,4.11,3.72
Fall,2015,JACK BEUTH,MEG,24101,FUND OF MECH ENGR,1,143,164,87%,8.57,3.95,4.07,4.16,3.63,4.32,4.31,4.25,4.04,3.95
Spring,2014,ALAN MCGAUGHEY,MEG,24101,FUND OF MECH ENGR,1,76,128,59%,6.22,4.46,4.33,4.33,3.88,4.34,4.3,4.66,3.97,3.72
Fall,2014,PHILIP LEDUC,MEG,24101,FUND OF MECH ENGR,1,87,134,65%,7.02,3.75,3.52,3.75,3.22,3.83,3.29,4.51,3.27,3.16
Spring,2013,ROBERT REID,MEG,24101,FUND OF MECH ENGR,1,102,143,71%,6.95,3.76,3.56,3.59,3.17,3.77,3.49,3.94,3.29,3.24
Fall,2013,ROBERT REID,MEG,24101,FUND OF MECH ENGR,1,125,154,81%,7.82,4.16,3.95,3.77,3.38,4.28,3.94,4.46,3.78,3.73
Spring,2012,ROBERT REID,MEG,24101,FUND OF MECH ENGR,1,109,156,70%,6.31,4.05,3.88,3.84,3.49,4.08,3.82,4.18,3.69,3.51
Fall,2012,JACK BEUTH,MEG,24101,FUND OF MECH ENGR,1,135,149,91%,8.16,4.52,4.46,4.51,3.95,4.56,4.47,4.56,4.38,4.3
Spring,2011,ROBERT REID,MEG,24101,FUND OF MECH ENGR,1,68,128,53%,6.59,4.09,3.87,3.76,3.66,4.07,3.88,4.32,3.84,3.84
Fall,2011,JACK BEUTH,MEG,24101,FUND OF MECH ENGR,1,126,141,89%,7.36,4.36,4.28,4.29,3.76,4.4,4.48,4.54,4.36,4.13
Spring,2010,ROBERT REID,MEG,24101,FUND OF MECH ENGR,1,85,117,73%,5.56,3.98,3.66,3.5,3.39,3.92,3.6,4.12,3.42,3.45
Fall,2010,PHILIP LEDUC,MEG,24101,FUND OF MECH ENGR,1,69,135,51%,7,4.14,4.43,4.45,3.67,4.36,3.96,4.36,3.96,3.9
Spring,2017,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,4,8,50%,6.5,4.5,4.25,4,4.25,4,4.5,4.75,4.5,4.25
Spring,2016,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,4,6,67%,8.75,4.5,4.25,4.25,4.5,4.5,4,4.5,4.5,4.5
Spring,2015,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,5,6,83%,8,4.6,3.8,3.6,4.2,4.4,4.6,4.4,4.4,4.2
Spring,2014,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,3,6,50%,8,4.33,5,4.67,4.67,4.33,4.33,4.67,4.33,4
Spring,2013,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,7,11,64%,8.86,3.86,4.29,4,4.29,4.14,4.43,4.14,4.29,3.86
Spring,2012,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,4,6,67%,10.25,4.5,4.5,4.5,4,4.75,4.75,4.5,4.25,4
Spring,2011,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,7,14,50%,5.86,3.29,4,3.86,3.71,3.57,4,3.29,3.43,3.57
Fall,2011,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,5,9,56%,8.75,3,3,3.6,2.8,3.8,3.8,2.6,2.6,2.8
Spring,2010,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,8,17,47%,6.13,4,4.25,4,4,3.88,4.38,4.25,4.25,4
Fall,2010,ROBERT KMETZ,MEG,24201,ENGINEERING GRAPHICS,T,6,13,46%,5.5,3.17,3.67,3.6,2.67,3.67,4,3.33,3.17,3.33
Spring,2017,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A3,10,44,23%,2.3,4,4.1,4.5,3.7,4.6,4.2,4.3,3.9,4
Spring,2017,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,B4,35,40,88%,2.77,4.29,4.34,4.34,3.94,4.57,4.37,4.37,4.09,4.03
Spring,2016,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A3,5,12,42%,2,4.8,5,5,4.8,5,5,5,5,4.8
Spring,2016,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,B4,13,23,57%,2.23,4.08,4.31,4.38,4.08,4.15,4.08,4.38,4.23,4.08
Fall,2016,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A1,22,48,46%,2,4.05,4.41,4.32,3.5,4.27,4.27,4.55,4.14,3.91
Fall,2016,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A2,30,45,67%,2.5,3.8,4.03,3.93,3.43,3.97,3.83,4.13,3.67,3.53
Spring,2015,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A3,10,30,33%,2.6,4.2,3.9,4.2,3.7,4.6,4.1,4.6,3.89,3.7
Spring,2015,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,B4,13,29,45%,2.69,4.5,4.54,4.38,4.38,4.54,4.31,4.54,4.31,4.31
Fall,2015,CHRISTOPHER DERAMO,MEG,24202,INTRO CMPTR AID DESG,A1,15,41,37%,2.2,4.13,4.13,4.07,3.5,4.46,4.36,4.5,4,3.79
