Spring,2017,MARY RADCLIFFE,MSC,21101,FRESHMAN MATH SEMINR,A3,Lect,4,4,100%,5,4.5,4.5,4.5,4.5,4.75,4.5,4.75,4.5,4.5
Spring,2016,MARY RADCLIFFE,MSC,21101,FRESHMAN MATH SEMINR,A3,Lect,9,10,90%,5,5,4.44,4.56,4.44,4.78,4.89,4.89,4.78,4.67
Spring,2015,JOHN MACKEY,MSC,21101,FRESHMAN MATH SEMINR,A3,Lect,19,29,66%,5,4.95,4.68,4.58,4.58,4.84,4.78,4.95,4.84,4.74
Fall,2014,WILLIAM HRUSA,MSC,21101,FRESHMAN MATH SEMINR,A2,Lect,18,26,69%,4.67,4.72,4.5,4.5,4.72,4.88,4.61,4.83,4.67,4.56
Fall,2013,JOHN MACKEY,MSC,21101,FRESHMAN MATH SEMINR,A1,Lect,13,17,76%,5.46,5,4.62,4.46,4.77,4.92,4.69,5,4.85,4.85
Fall,2012,JOHN MACKEY,MSC,21101,FRESHMAN MATH SEMINR,A1,Lect,8,13,62%,5,5,4.63,4.5,4.38,5,4.75,5,5,4.88
Fall,2011,TIMOTHY FLAHERTY,MSC,21101,FRESHMAN MATH SEMINR,A1,Lect,4,13,31%,5.75,4.5,3.5,3.75,4,4.25,4,5,4.75,4
Fall,2010,JOHN MACKEY,MSC,21101,FRESHMAN MATH SEMINR,A1,Lect,19,34,56%,5,5,4.68,4.68,4.47,4.89,4.95,4.84,5,4.89
Spring,2014,NATALIE KOMAROV,MSC,21110,PRB SLV RECRATNL MTH,A,Lect,7,12,58%,2.86,4.43,4.43,4.29,4.14,4.14,4.57,4.71,4.57,4.57
Spring,2013,JUAN SCHAFFER,MSC,21110,PRB SLV RECRATNL MTH,A,Lect,3,12,25%,5,2,1.67,1.67,2,2,1.67,2,1.67,1.67
Spring,2011,IRINA GHEORGHICIUC,MSC,21110,PRB SLV RECRATNL MTH,A,Lect,7,20,35%,5,4.29,4.29,3.86,4,4,4,4.86,4.29,4.14
Spring,2016,JUAN SCHAFFER,MSC,21111,CALCULUS I,1,Lect,6,12,50%,8.5,1,1,1,1.17,1,1,1.17,1,1.33
Fall,2016,DEBORAH BRANDON,MSC,21111,CALCULUS I,1,Lect,28,47,60%,6.89,4.71,4.43,4.32,4.21,4.25,4.07,4.93,4.18,4.25
Fall,2016,MARION OLIVER,MSC,21111,CALCULUS I,W,Lect,27,38,71%,10.33,4.26,4.07,3.89,4.11,3.93,3.96,4.56,3.52,3.81
Fall,2016,MARION OLIVER,MSC,21111,CALCULUS I,X,Lect,27,38,71%,13.85,4,3.81,3.78,3.63,3.7,3.63,4.63,3.37,3.78
Spring,2015,JUAN SCHAFFER,MSC,21111,CALCULUS I,1,Lect,6,11,55%,7,2.67,2.17,2,2.33,2.83,1.67,2.83,2.17,1.67
Fall,2015,DEBORAH BRANDON,MSC,21111,CALCULUS I,1,Lect,23,52,44%,6.96,4.3,4.48,4.3,4.09,4.09,4.3,4.57,4.35,4.04
Fall,2015,MARION OLIVER,MSC,21111,CALCULUS I,W,Lect,32,46,70%,12.53,3.81,3.97,3.71,3.48,4.13,3.35,4.61,3.39,3.55
Fall,2015,MARION OLIVER,MSC,21111,CALCULUS I,X,Lect,16,30,53%,10.27,3.75,3.5,3.63,3.63,3.94,3.75,4.88,3.38,3.75
Spring,2014,JUAN SCHAFFER,MSC,21111,CALCULUS I,1,Lect,2,9,22%,8,4.5,3.5,3.5,3.5,3.5,2.5,4.5,3.5,3
