Spring,2017,MARTIN CARLISLE,INI,14642,INTRO EMBEDDED SYSTM,1,5,8,63%,15.4,4.4,4.2,4.6,3.8,4.4,3.8,4.8,4.2,4.4
Spring,2017,MARTIN CARLISLE,INI,14642,INTRO EMBEDDED SYSTM,A,4,8,50%,11,4.25,4,4.5,4,4.5,4.25,4.5,4.25,4
Fall,2016,MARTIN CARLISLE,INI,14642,FUND EMBEDDED SYSTMS,A,63,79,80%,16.98,4.6,4.18,4.15,4.03,4.21,3.97,4.63,4,4.08
Spring,2013,MANUEL ROSSO-LLOPART,INI,14702,INI MSIT GRAD SEMINR,A,26,35,74%,5.27,3.62,3.54,3.46,3.81,3.46,3.58,4.31,3.73,3.35
Spring,2012,MANUEL ROSSO-LLOPART,INI,14702,INI MSIT GRAD SEMINR,A,20,32,63%,7.1,3.05,2.8,3,3.55,2.7,2.58,3.55,2.95,2.45
Fall,2012,PATRICK TAGUE,INI,14703,INI MSIT GRAD SEMINR,A,15,30,50%,6.4,3.67,3.87,3.53,3.73,3.4,3.33,4.07,3.8,2.93
Summer,2011,"ZHANG, P. (co-taught)",INI,14703,INI MSIT GRAD SEMINR,M,9,29,31%,5,3.11,2.78,2.67,2.44,2.78,2.78,3.56,2.67,2.56
Summer,2011,"TAGUE, P. (co-taught)",INI,14703,INI MSIT GRAD SEMINR,M,9,29,31%,5,3.22,3,3.11,3.11,2.78,3,3.56,3.11,2.89
Summer,2011,"JACKSON, C. (co-taught)",INI,14703,INI MSIT GRAD SEMINR,M,9,29,31%,5,3.33,3.22,3.11,3,2.89,2.89,3.67,3.11,2.78
Summer,2010,PATRICK TAGUE,INI,14703,INI MSIT GRAD SEMINR,M,10,26,38%,5.3,4.3,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.3
Fall,2010,DIMITRIOU TASSOS,INI,14718,ALGORITHMS,G,3,6,50%,11,4.33,4.67,4.67,4.67,4.33,4.33,5,4.67,4.67
Spring,2010,LOANNIS CHRISTIOUS,INI,14720,INFRMTN SYSTMS MODLG,G,8,10,80%,9.13,4.25,4.13,4,3.75,4.38,4.38,4.5,4.38,4.13
Summer,2010,CONSTANTINOS PAPADIAS,INI,14721,DIGITAL COMMUNICATNS,P,4,9,44%,11,4.75,5,5,4.75,4.75,5,5,5,5
Summer,2010,LAZAROS POLYMENAKOS,INI,14723,MULTIMEDIA COMMNCTNS,P,4,6,67%,9.5,4.5,4.25,4.5,4.5,4.75,4.5,4,4.25,4.5
Spring,2010,DIMITRIOU TASSOS,INI,14724,SENSOR NETWORKS,G,5,6,83%,9.2,4.6,4.6,4.4,4.2,4.4,4.8,4.6,4.6,4.6
Spring,2017,MARTIN CARLISLE,INI,14735,SECURE CODING,A,21,26,81%,10.86,4.71,4.48,4.62,4.33,4.57,4.48,4.71,4.38,4.43
Spring,2017,MARTIN CARLISLE,INI,14735,SECURE CODING,SV,6,8,75%,14,4.5,4.5,4.5,4.67,4.5,4.17,4.83,4.5,4.5
Spring,2016,ROBERT SEACORD,INI,14735,SECURE CODING,A,7,11,64%,7.14,4.71,4.43,4.86,5,5,5,5,4.86,4.86
Spring,2016,ROBERT SEACORD,INI,14735,SECURE CODING,SV,6,6,100%,8.5,4.5,4.33,4.67,4.33,4.5,4.17,4.83,4.5,4.5
Spring,2015,ROBERT SEACORD,INI,14735,SECURE CODING,A,5,7,71%,7.4,5,5,4.8,4.6,4.8,5,5,4.8,4.8
Spring,2015,ROBERT SEACORD,INI,14735,SECURE CODING,SV,2,2,100%,16,4.5,4,4.5,4.5,4.5,4,4.5,4.5,4
Fall,2013,ROBERT SEACORD,INI,14735,SECURE SOFTWRE ENGR,A,13,15,87%,8.25,4.54,4.69,4.77,4.15,4.77,4.85,4.54,4.62,4.54
Fall,2012,ROBERT SEACORD,INI,14735,SECURE SOFTWRE ENGR,A,10,12,83%,7.7,4.2,4.3,4.3,4.2,4.3,4.3,4.3,4.4,4.3
Fall,2011,ROBERT SEACORD,INI,14735,SECURE SOFTWRE ENGR,A,6,9,67%,5,4.33,4.17,4.33,4.33,4.5,4.5,4.33,4.17,4.17
Fall,2010,ROBERT SEACORD,INI,14735,SECURE SOFTWRE ENGR,A,9,11,82%,9.33,4.44,4.33,4.44,4.33,4.56,4.44,4,4.22,4.56
Spring,2017,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,A,44,44,100%,12.57,4.73,4.73,4.75,4.59,4.64,4.75,4.77,4.61,4.07
Spring,2016,RAJEEV GANDHI,INI,14740,FUND TELECOM NETWRKS,A,26,33,79%,12.64,4.08,4.15,4.23,3.69,4.23,4.19,4.31,4.12,4.04
Fall,2016,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,A,41,41,100%,10.95,4.83,4.71,4.76,4.29,4.63,4.59,4.85,4.46,4.37
Fall,2016,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,J,10,10,100%,11.7,5,4.5,4.8,5,4.9,4.8,5,4.9,4.7
Spring,2015,RAJEEV GANDHI,INI,14740,FUND TELECOM NETWRKS,A,9,14,64%,14.89,4.33,4.22,4.56,3.67,4.56,4.67,4.67,4.67,4.33
Fall,2015,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,A,60,60,100%,13.32,4.82,4.7,4.73,4.33,4.72,4.68,4.87,4.68,4.33
Fall,2015,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,J,10,11,91%,13.5,5,4.9,4.9,4.9,5,4.9,4.9,5,5
Spring,2014,RAJEEV GANDHI,INI,14740,FUND TELECOM NETWRKS,A,23,24,96%,13.78,4.39,4.52,4.52,4.13,4.57,4.57,4.78,4.48,4.26
Fall,2014,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,A,94,94,100%,11.47,4.6,4.59,4.59,4.36,4.47,4.56,4.69,4.39,4.24
Fall,2014,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,J,6,6,100%,14.67,4.83,4.83,4.83,4.33,4.83,5,5,5,5
Spring,2013,RAJEEV GANDHI,INI,14740,FUND TELECOM NETWRKS,A,20,29,69%,12.74,4.75,4.85,4.85,4.5,4.8,4.9,4.75,4.85,4.65
Fall,2013,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,A,92,92,100%,10.41,4.62,4.61,4.62,4.25,4.5,4.52,4.7,4.49,4.34
Fall,2013,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,J,8,8,100%,16.75,4.63,4.88,4.75,4.13,4.38,4.63,5,5,4.75
Spring,2012,RAJEEV GANDHI,INI,14740,FUND TELECOM NETWRKS,A,30,50,60%,10.6,4.5,4.47,4.4,4.27,4.34,4.47,4.6,4.53,4.28
Fall,2012,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,A,48,49,98%,8.88,4.58,4.56,4.63,4.13,4.56,4.65,4.79,4.52,4.25
Fall,2012,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,B,40,40,100%,8.53,4.43,4.45,4.58,3.68,4.31,4.17,4.85,4.1,4.03
Fall,2012,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,J,7,7,100%,9.29,4.86,4.86,4.71,4.57,4.86,5,4.86,4.86,4.86
Fall,2011,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,A,48,48,100%,9.56,4.52,4.35,4.38,3.77,4.35,4.46,4.67,4.31,4.21
Fall,2011,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,J,7,7,100%,9.71,4.57,4.71,4.71,4,4.86,4.29,5,5,4.43
Fall,2010,WILLIAM NACE,INI,14740,FUND TELECOM NETWRKS,A,95,96,99%,8.93,4.63,4.43,4.48,3.89,4.44,4.32,4.71,4.26,4.19
Fall,2016,NICOLAS CHRISTIN,INI,14741,INTRO INFO SECURITY,A,38,50,76%,12.21,4.5,4.5,4.45,3.92,4.55,4.5,4.63,4.46,4.18
