Spring,2017,"FRANCIONI ROONEY, A. (co-taught)",CEE,12232,SOLID MECHANICS LAB,A,27,30,90%,3.88,3.92,3.84,9.15,4.48,4.11,4.19,4.26,4.19,4.26,4.56,4.3,3.85,,,,,,
Spring,2017,"THOMPSON, J. (co-taught)",CEE,12232,SOLID MECHANICS LAB,A,27,30,90%,,,,9.77,4.19,3.88,3.92,3.92,3.83,3.8,3.84,3.72,3.48,,,,,,
Spring,2016,"FRANCIONI ROONEY, A. (co-taught)",CEE,12232,SOLID MECHANICS LAB,A,34,42,81%,3.53,3.74,3.55,8.47,3.94,3.44,3.71,3.5,3.82,3.65,3.85,3.62,3.44,,,,,,
Spring,2016,"THOMPSON, J. (co-taught)",CEE,12232,SOLID MECHANICS LAB,A,34,42,81%,,,,9.83,3.84,3.6,3.8,3.56,4.04,3.72,3.44,3.68,3.68,,,,,,
Spring,2015,JAMES THOMPSON,CEE,12232,SOLID MECHANICS LAB,A,19,20,95%,10.11,3.74,4.05,4.26,3.37,4.05,3.79,3.89,3.58,3.32,,,,,,,,,
Spring,2014,JAMES THOMPSON,CEE,12232,SOLID MECHANICS LAB,A,34,37,92%,12.12,3.76,3.29,3.5,3.59,3.91,3.38,3.35,3.18,3,,,,,,,,,
Spring,2013,(co-taught),CEE,12232,SOLID MECHANICS LAB,A,37,47,79%,8.86,3.79,2.85,3.38,3.38,4,3.38,3.46,3.31,2.85,,,,,,,,,
Spring,2013,"THOMPSON, J. (co-taught)",CEE,12232,SOLID MECHANICS LAB,A,37,47,79%,8.73,3.81,3.07,3.48,3.37,3.7,3.19,3.56,3.35,3.07,,,,,,,,,
Spring,2017,MARIO BERGES,CEE,12271,INT CM AP CV ENV ENG,A,17,31,55%,3.29,3.38,3.47,6.76,3.76,3.53,3.63,3.24,3.71,3.5,3.88,3.29,3,,,,,,
Spring,2016,MARIO BERGES,CEE,12271,INT CM AP CV ENV ENG,A,25,42,60%,4.2,4.32,4.48,7.04,4.6,4.4,4.48,4.28,4.52,4.2,4.6,4.48,4.44,,,,,,
Spring,2015,MARIO BERGES,CEE,12271,INT CM AP CV ENV ENG,A,18,26,69%,7.83,4.44,4.22,4.39,3.61,4.22,4.11,4.78,4.28,4.11,,,,,,,,,
Spring,2014,MARIO BERGES,CEE,12271,INT CM AP CV ENV ENG,A,25,37,68%,9,4.56,4.32,4.48,4.24,4.36,4.36,4.68,4.2,4.16,,,,,,,,,
Spring,2013,MARIO BERGES,CEE,12271,INT CM AP CV ENV ENG,A,31,44,70%,8.6,4.39,4.06,4.06,3.68,4.32,3.74,4.39,4,3.84,,,,,,,,,
Fall,2016,"COFFELT, D. (co-taught)",CEE,12301,CIVIL ENVMTL ENG PRJ,A,27,42,64%,,,,,,,,,,7.89,4.37,3.33,3.56,3.44,4.04,3.63,4.33,3.77,3.52
Fall,2016,"FINGER, S. (co-taught)",CEE,12301,CIVIL ENVMTL ENG PRJ,A,27,42,64%,3.19,3.41,3.31,4.07,3.63,3.7,3.67,3.37,3.52,8,4.26,3.07,3.33,3.22,3.96,3.44,4.07,3.44,3.52
Fall,2015,"COFFELT, D. (co-taught)",CEE,12301,CIVIL ENVMTL ENG PRJ,A,18,24,75%,9.33,3.89,3.33,3.28,3.28,3.67,3.33,4.17,3.59,2.94,,,,,,,,,
Fall,2015,"FINGER, S. (co-taught)",CEE,12301,CIVIL ENVMTL ENG PRJ,A,18,24,75%,9,4.11,3,2.94,3.06,3.61,3.28,4.06,3.44,3,,,,,,,,,
Fall,2016,SARAH CHRISTIAN,CEE,12335,SOIL MECHANICS,A,38,38,100%,3.91,3.97,7.84,4.32,4,4.34,3.55,4.13,3.76,4.39,3.76,3.89,,,,,,,
Fall,2016,AMIT ACHARYA,CEE,12335,SOIL MECHANICS,B,7,12,58%,3.8,3.5,7.57,3.86,4,4.14,4.29,3.57,4.17,4.43,4,4.14,,,,,,,
