Fall,2016,KLAUS SUTNER,CS,15051,DISCRETE MATH PRIMER,A1,Lect,64,166,39%,3.75,4.05,4,4.12,3.67,3.87,3.93,4.17,3.97,3.89
Spring,2012,DONALD SLATER,CS,15101,EXPLORNG PRGMG ALICE,1,Lect,20,45,44%,5.33,4.05,4.35,4.2,4.25,4.65,4.45,4.35,4.35,4.11
Spring,2011,DONALD SLATER,CS,15101,EXPLORNG PRGMG ALICE,1,Lect,4,11,36%,5,4.5,4.75,5,4.75,5,4.5,4.75,4.75,4.75
Spring,2011,WANDA DANN,CS,15101,EXPLORNG PRGMG ALICE,2,Lect,15,31,48%,7.4,4,3.8,4.67,4.07,4.67,3.87,4.13,3.8,4.27
Fall,2011,DONALD SLATER,CS,15101,EXPLORNG PRGMG ALICE,1,Lect,35,49,71%,7.12,4.38,4.6,4.77,4.49,4.86,4.44,4.57,4.54,4.49
Spring,2010,WANDA DANN,CS,15101,EXPLORNG PRGMG ALICE,1,Lect,15,22,68%,6.6,3.8,3.87,4.27,4.07,4.43,3.93,4.07,4.2,4
Spring,2010,DONALD SLATER,CS,15101,EXPLORNG PRGMG ALICE,2,Lect,11,12,92%,6.64,4.27,4.27,4.45,4.18,4.82,4.27,4.45,4.27,4.36
Fall,2010,DONALD SLATER,CS,15101,EXPLORNG PRGMG ALICE,1,Lect,9,11,82%,7.67,4.33,4.33,4.67,4.33,4.67,4.33,4.44,4.44,4.33
Fall,2010,WANDA DANN,CS,15101,EXPLORNG PRGMG ALICE,2,Lect,15,19,79%,7,3.73,4.2,4.2,4.2,4.6,4.4,4.47,3.87,4.13
Summer,2011,JAMES ROBERTS,CS,15102,EXPLNG PROGMNG GRPHC,S,Lect,2,6,33%,9.5,5,5,5,4.5,5,4.5,4.5,5,4
Spring,2011,JAMES ROBERTS,CS,15102,EXPLNG PROGMNG GRPHC,A,Lect,7,18,39%,9.71,5,4.86,4.86,4.86,4.86,5,5,5,4.71
Spring,2011,JAMES ROBERTS,CS,15102,EXPLNG PROGMNG GRPHC,B,Lect,21,34,62%,8.29,4.62,4.86,4.9,4.9,5,4.71,4.95,4.9,4.67
Spring,2011,JAMES ROBERTS,CS,15102,EXPLNG PROGMNG GRPHC,C,Lect,11,23,48%,8,4.73,4.73,4.91,4.73,4.73,4.55,4.55,4.73,4.45
Spring,2011,JAMES ROBERTS,CS,15102,EXPLNG PROGMNG GRPHC,D,Lect,14,21,67%,6.93,4.64,4.79,4.86,4.57,4.93,4.57,4.71,4.29,4.5
Spring,2010,JAMES ROBERTS,CS,15102,EXPLNG PROGMNG GRPHC,A,Lect,8,16,50%,8.38,4.75,4.5,5,4.75,5,4.75,4.75,4.88,4.88
Spring,2010,JAMES ROBERTS,CS,15102,EXPLNG PROGMNG GRPHC,B,Lect,22,29,76%,7.32,4.86,4.73,4.91,4.86,4.95,4.73,4.82,4.68,4.64
Spring,2010,JAMES ROBERTS,CS,15102,EXPLNG PROGMNG GRPHC,C,Lect,15,26,58%,8.4,4.93,4.73,4.93,4.93,4.93,4.73,4.87,4.67,4.73
Spring,2010,JAMES ROBERTS,CS,15102,EXPLNG PROGMNG GRPHC,D,Lect,9,15,60%,8.33,4.56,4.33,4.89,4.78,5,4.56,5,4.67,4.56
