Fall,2016,DONALD WADSWORTH,DRA,54011,WARMUP,A,4,17,24%,2,5,5,4.25,4.75,5,4.75,4.75,5,4.5
Fall,2015,DONALD WADSWORTH,DRA,54011,WARMUP,A,4,16,25%,2,4.25,4.75,4.25,3.25,4,4.25,4.75,4.25,4
Fall,2014,DONALD WADSWORTH,DRA,54011,WARMUP,A,6,20,30%,2,4.67,4.83,4.83,4.5,4.33,4.83,4.83,4.83,4.67
Fall,2013,BARBARA MACKENZIE-WOOD,DRA,54011,WARMUP,A,7,21,33%,2,3.71,3.71,3.71,3.86,3.57,3.86,4.14,3.71,4
Fall,2012,BARBARA MACKENZIE-WOOD,DRA,54011,WARMUP,A,11,31,35%,2.33,4.67,4.7,4.7,4.3,4.6,4.5,4.7,4.7,4.7
Fall,2011,BARBARA MACKENZIE-WOOD,DRA,54011,WARMUP,A,12,24,50%,2,4.75,4.83,4.67,4.5,4.58,4.67,5,4.67,4.58
Fall,2010,BARBARA MACKENZIE-WOOD,DRA,54011,WARMUP,A,3,25,12%,2,4.67,5,5,4.33,4.67,4.33,5,5,5
Spring,2017,DONALD WADSWORTH,DRA,54012,WARMUP,A,4,14,29%,2,4.5,4.5,4.5,3.75,4.5,4.5,4.5,4.5,4.25
Spring,2016,DONALD WADSWORTH,DRA,54012,WARMUP,A,4,16,25%,2,4,4.5,4.5,4,4.25,4.25,4.75,4.75,4.5
Spring,2015,DONALD WADSWORTH,DRA,54012,WARMUP,A,3,19,16%,3,4.33,5,5,4.33,4.67,4.33,5,4.67,5
Spring,2014,BARBARA MACKENZIE-WOOD,DRA,54012,WARMUP,A,6,17,35%,2,3.33,3.67,3.83,3.5,3.17,3.83,3.83,3.83,3.33
Spring,2013,BARBARA MACKENZIE-WOOD,DRA,54012,WARMUP,A,6,16,38%,2.6,4.67,4.83,4.5,4,4.33,4.67,4.83,4.67,3.83
Spring,2012,BARBARA MACKENZIE-WOOD,DRA,54012,WARMUP,A,7,21,33%,2,4.43,4.43,4.43,4.29,4.43,4.57,4.71,4.57,4.57
