Summer,2016,MATTHEW CLINE,CHE,6052,FNDMTL CHE PRACTICE,E,5,7,71%,15.6,4.6,4.4,4.4,2.8,4.6,4.4,4.6,3.8,4
Spring,2017,SUSANA STEPPAN,CHE,6100,INTRO TO CHEM ENGR,1,14,24,58%,8.64,3.93,3.93,3.86,3.43,3.64,3.71,4.36,3.57,3.36
Spring,2016,SUSANA STEPPAN,CHE,6100,INTRO TO CHEM ENGR,1,26,33,79%,8.52,4.23,4.08,4.12,3.73,4.08,3.85,4.35,3.92,3.88
Fall,2016,JAMES SCHNEIDER,CHE,6100,INTRO TO CHEM ENGR,1,33,59,56%,8.45,4.61,4.61,4.61,4.45,4.61,4.64,4.79,4.67,4.47
Spring,2015,SUSANA STEPPAN,CHE,6100,INTRO TO CHEM ENGR,1,29,47,62%,9.24,4.48,4.07,4.1,3.97,4.31,4.07,4.86,4,3.89
Fall,2015,MICHAEL DOMACH,CHE,6100,INTRO TO CHEM ENGR,1,64,89,72%,6.92,3.67,3.06,3.03,3.38,3.63,3.13,4.19,3.05,3.06
Spring,2014,SUSANA STEPPAN,CHE,6100,INTRO TO CHEM ENGR,1,21,28,75%,8.43,4.19,4.05,4.19,3.81,4.19,4,4.81,3.52,3.67
Fall,2014,JAMES SCHNEIDER,CHE,6100,INTRO TO CHEM ENGR,1,40,68,59%,9.52,3.93,3.93,3.7,3.45,4.17,3.85,4.1,3.7,3.65
Fall,2013,KRIS DAHL,CHE,6100,INTRO TO CHEM ENGR,1,56,76,74%,10.39,4.21,3.91,3.98,3.59,4.41,3.89,4.11,3.95,4
Spring,2013,"DOMACH, M. (co-taught)",CHE,6100,INTRO TO CHEM ENGR,1,14,32,44%,8.46,3.93,3.21,3.36,3.29,3.5,3.29,4.21,3.5,3.57
Spring,2013,"STEPPAN, S. (co-taught)",CHE,6100,INTRO TO CHEM ENGR,1,14,32,44%,8.21,4.36,4.07,4.07,4.21,4.14,4.14,4.43,4.14,3.86
Spring,2012,MICHAEL DOMACH,CHE,6100,INTRO TO CHEM ENGR,1,19,39,49%,5.83,4.21,3.79,3.84,3.53,4.32,3.89,4.63,3.63,3.42
Fall,2012,KRIS DAHL,CHE,6100,INTRO TO CHEM ENGR,1,48,73,66%,10.17,3.96,3.81,3.85,3.58,4.38,3.64,4.06,3.74,3.75
Spring,2011,MICHAEL DOMACH,CHE,6100,INTRO TO CHEM ENGR,1,22,38,58%,6.43,4.18,3.73,3.82,3.41,4.09,3.91,4.73,3.77,3.86
Fall,2011,KRIS DAHL,CHE,6100,INTRO TO CHEM ENGR,1,50,81,62%,9.6,4.2,3.9,3.98,3.36,4.46,3.7,4.18,3.78,3.92
Spring,2010,MICHAEL DOMACH,CHE,6100,INTRO TO CHEM ENGR,1,21,35,60%,6.14,4.62,4.1,4.05,4.29,4.33,4,4.71,4.14,4.05
Fall,2010,JAMES SCHNEIDER,CHE,6100,INTRO TO CHEM ENGR,1,53,87,61%,8.79,4.57,4.43,4.4,4,4.34,4.36,4.64,4.34,4.19
Fall,2016,KRIS DAHL,CHE,6221,THERMODYNAMICS,A,48,73,66%,9.19,4.85,4.5,4.6,4.21,4.67,4.56,4.77,4.6,4.58
Fall,2015,KRIS DAHL,CHE,6221,THERMODYNAMICS,A,54,83,65%,8.89,4.24,3.78,3.89,3.63,4.33,3.87,4.25,3.76,3.81
Fall,2014,KRIS DAHL,CHE,6221,THERMODYNAMICS,A,51,72,71%,9.06,4.53,4.12,4.24,4.18,4.6,4.34,4.38,4.32,4.2
Fall,2013,MICHAEL DOMACH,CHE,6221,THERMODYNAMICS,A,35,76,46%,9.06,3.71,3.17,3.37,3.23,3.66,3.17,4.23,3.2,3.29
Fall,2012,RAJ CHAKRABARTI,CHE,6221,THERMODYNAMICS,A,52,78,67%,7.94,4.25,3.67,3.85,3.83,3.83,3.85,4.25,3.57,3.55
Fall,2011,ROBERT TILTON,CHE,6221,THERMODYNAMICS,A,47,83,57%,7.74,4.3,4.53,4.52,4.02,4.57,4.7,4.72,4.39,4.41
Fall,2010,ROBERT TILTON,CHE,6221,THERMODYNAMICS,A,40,80,50%,8.23,4.6,4.52,4.6,4.32,4.6,4.72,4.78,4.63,4.55
Fall,2015,CHRYSANTHOS GOUNARIS,CHE,6222,SOPH CHEM ENGNRG SEM,A,48,76,63%,2.13,4.36,4.4,4.4,4.02,4.3,4.38,4.4,4.25,3.75
Fall,2014,MICHAEL DOMACH,CHE,6222,SOPH CHEM ENGNRG SEM,A,40,62,65%,2.08,3.88,3.03,3.52,3.4,3.75,3.7,4.32,3.5,3.15
Fall,2013,ANDREW GELLMAN,CHE,6222,SOPH CHEM ENGNRG SEM,A,30,62,48%,2,4.1,4.17,4.24,4,4.17,4.14,4.38,4,3.86
Fall,2012,ANDREW GELLMAN,CHE,6222,SOPH CHEM ENGNRG SEM,A,40,74,54%,2.49,4.28,4.5,4.58,3.98,4.25,4.17,4.44,4.23,3.9
Fall,2011,ANDREW GELLMAN,CHE,6222,SOPH CHEM ENGNRG SEM,A,39,77,51%,2.08,4.41,4.56,4.56,4.36,4.49,4.41,4.59,4.37,3.87
Fall,2010,ANDREW GELLMAN,CHE,6222,SOPH CHEM ENGNRG SEM,A,36,76,47%,2.43,3.81,4.08,4.11,3.92,4,3.97,4.14,3.81,3.33
Spring,2017,MICHAEL DOMACH,CHE,6261,FLUID MECHANICS,A,31,70,44%,7.81,3.84,2.94,3.13,3,3.97,3.06,4.32,2.97,3.1
Spring,2016,MYUNG JHON,CHE,6261,FLUID MECHANICS,A,34,79,43%,10.41,3.47,3.74,3.62,3.35,3.97,3.56,3.55,3.65,3.67
Spring,2015,MYUNG JHON,CHE,6261,FLUID MECHANICS,A,38,68,56%,9.21,3.18,3.71,3.76,2.87,3.92,3.24,3.18,3.19,3.29
Spring,2014,MYUNG JHON,CHE,6261,FLUID MECHANICS,A,29,66,44%,9.39,3.83,4.1,4.07,3.72,4.07,4.07,4,4.07,4.03
Spring,2013,MYUNG JHON,CHE,6261,FLUID MECHANICS,A,46,78,59%,8.98,3.59,3.63,3.8,3.5,4.04,3.61,3.61,3.59,3.69
Spring,2012,JAMES SCHNEIDER,CHE,6261,FLUID MECHANICS,A,44,79,56%,8.07,4.48,4.5,4.39,3.98,4.52,4.55,4.36,4.48,4.32
Spring,2011,JAMES SCHNEIDER,CHE,6261,FLUID MECHANICS,A,35,70,50%,8.94,4.31,4.34,4.26,4.06,4.54,4.37,4.6,4.31,4.06
Spring,2010,JAMES SCHNEIDER,CHE,6261,FLUID MECHANICS,A,35,74,47%,9.2,4.6,4.47,4.57,4.21,4.51,4.43,4.6,4.54,4.37
Spring,2017,MYUNG JHON,CHE,6262,MATH MTHDS CHEM ENGR,A,32,68,47%,11.58,3.63,4.28,4.28,3.47,4.16,3.97,3.88,3.75,3.91
Spring,2016,ADITYA KHAIR,CHE,6262,MATH MTHDS CHEM ENGR,A,36,77,47%,9.42,4.61,4.56,4.56,4.31,4.53,4.39,4.69,4.25,4.28
Spring,2015,ADITYA KHAIR,CHE,6262,MATH MTHDS CHEM ENGR,A,40,72,56%,10.59,4.03,3.95,4.03,3.38,3.95,3.33,4.45,3.4,3.42
Spring,2014,ADITYA KHAIR,CHE,6262,MATH MTHDS CHEM ENGR,A,28,62,45%,10.14,4.61,4.5,4.5,4.36,4.5,4.29,4.54,4.21,4.25
Spring,2013,ADITYA KHAIR,CHE,6262,MATH MTHDS CHEM ENGR,A,44,76,58%,9.6,4.27,4.09,4.05,3.8,4.25,3.8,4.64,3.95,3.82
Spring,2012,ADITYA KHAIR,CHE,6262,MATH MTHDS CHEM ENGR,A,47,77,61%,9.72,3.85,3.3,3.38,2.7,3.62,2.96,4.43,3,2.91
Spring,2011,MYUNG JHON,CHE,6262,MATH MTHDS CHEM ENGR,A,35,70,50%,9.32,3.5,3.62,3.94,3.44,3.94,3.5,3.65,3.47,3.47
Spring,2010,MYUNG JHON,CHE,6262,MATH MTHDS CHEM ENGR,A,38,74,51%,8.87,3.5,3.37,3.45,3,3.36,3.03,3.76,2.92,3.03
Fall,2016,MICHAEL DOMACH,CHE,6321,CHEM ENGR THERMDYNMC,A,31,78,40%,7,3.16,2.74,2.68,2.29,3.1,2.26,3.29,2.39,2.48
Fall,2015,NIKOLAOS SAHINIDIS,CHE,6321,CHEM ENGR THERMDYNMC,A,34,66,52%,7.74,3.18,3.32,3.29,2.85,3.32,2.94,3.74,2.79,2.88
Fall,2014,NIKOLAOS SAHINIDIS,CHE,6321,CHEM ENGR THERMDYNMC,A,27,58,47%,12.11,2.63,2.22,2.3,2.04,2.62,1.96,3.04,2.07,2
Fall,2013,MICHAEL DOMACH,CHE,6321,CHEM ENGR THERMDYNMC,A,37,72,51%,8.41,3.68,3.19,3.32,3.49,3.65,3.22,3.89,3.3,3.27
Fall,2012,MICHAEL DOMACH,CHE,6321,CHEM ENGR THERMDYNMC,A,41,74,55%,6.69,4.29,3.73,3.88,3.63,4.12,3.83,4.59,3.78,3.63
Fall,2011,MICHAEL DOMACH,CHE,6321,CHEM ENGR THERMDYNMC,A,46,68,68%,7.67,4.2,3.58,3.78,3.78,3.87,3.8,4.57,3.71,3.6
Fall,2010,MICHAEL DOMACH,CHE,6321,CHEM ENGR THERMDYNMC,A,22,70,31%,8.14,4.55,4.05,4.09,3.86,4.27,4.09,4.77,3.91,3.91
Fall,2015,KATHRYN WHITEHEAD,CHE,6322,JUNIOR CHEM ENG SEMR,A,22,40,55%,2,4.76,4.95,4.86,4.57,4.76,4.67,4.76,4.81,4.52
Fall,2014,MICHAEL DOMACH,CHE,6322,JUNIOR CHEM ENG SEMR,A,14,36,39%,2,4.64,4.21,4.29,4.15,4.64,4.5,4.71,4.36,4.29
Fall,2013,B ERIK YDSTIE,CHE,6322,JUNIOR CHEM ENG SEMR,A,23,49,47%,2.39,3.96,4.17,4.09,3.91,3.96,3.91,4.26,4.04,4
Fall,2012,B ERIK YDSTIE,CHE,6322,JUNIOR CHEM ENG SEMR,A,22,42,52%,2,4.14,4.5,4.45,4.18,4.18,4.27,4.45,4.36,4.23
Fall,2011,B ERIK YDSTIE,CHE,6322,JUNIOR CHEM ENG SEMR,A,25,37,68%,2.26,4.08,4.25,4.25,3.79,4.13,4,4.25,3.92,3.96
Fall,2010,B ERIK YDSTIE,CHE,6322,JUNIOR CHEM ENG SEMR,A,15,38,39%,2,4.87,4.87,4.87,4.73,4.67,4.67,4.93,4.8,4.67
Fall,2016,SUSANA STEPPAN,CHE,6323,HEAT & MASS TRANSFER,A,29,76,38%,9.39,4.72,4.55,4.59,4.31,4.45,4.59,4.83,4.55,4.48
Fall,2015,SUSANA STEPPAN,CHE,6323,HEAT & MASS TRANSFER,A,37,65,57%,9.14,4.51,4.35,4.32,4.08,4.43,4.46,4.3,4.39,4.39
