Spring,2016,"SINGH, A. (co-taught)",MLG,10401,MACHINE LEARNING,A,Lect,20,39,51%,8.9,4.61,3.67,4.06,3.72,4.39,4.33,4.83,4.17,3.56
Spring,2016,"POCZOS, B. (co-taught)",MLG,10401,MACHINE LEARNING,A,Lect,20,39,51%,8.33,4.22,3.5,3.94,3.72,4.11,3.78,4.61,3.5,3.44
Fall,2016,GEOFFREY GORDON,MLG,10600,MATH FOR ML,A1,Lect,46,57,81%,9.13,4.33,3.89,4.02,4.24,3.98,3.83,4.7,3.91,3.87
Fall,2016,GEOFFREY GORDON,MLG,10600,MATH FOR ML,A2,Lect,33,48,69%,11.77,4.06,3.58,3.64,3.88,3.76,3.67,4.36,3.58,3.52
Spring,2016,RONALD ROSENFELD,MLG,10601,MACHINE LEARNING,A,Lect,145,230,63%,12.82,4.73,4.63,4.7,4.43,4.71,4.72,4.77,4.69,4.63
Spring,2016,"COHEN, W. (co-taught)",MLG,10601,MACHINE LEARNING,B,Lect,76,90,84%,14.08,3.55,3.6,3.58,3.4,3.99,3.32,4.24,3.13,3.74
Spring,2016,"BALCAN, M. (co-taught)",MLG,10601,MACHINE LEARNING,B,Lect,76,90,84%,13.87,4.09,3.92,3.93,3.73,4.11,3.91,4.25,3.76,3.87
Spring,2016,"RAMAKRISHNAN, B. (co-taught)",MLG,10601,MACHINE LEARNING,W,Lect,7,12,58%,11.43,4.86,4.43,4.29,4,4.43,4.43,5,4.71,4.57
Spring,2016,"BOUAMOR, H. (co-taught)",MLG,10601,MACHINE LEARNING,W,Lect,7,12,58%,10.5,4.71,4.29,4.29,3.57,4,4.14,5,4.14,4.57
Fall,2016,RONALD ROSENFELD,MLG,10601,MACHINE LEARNING,A,Lect,143,213,67%,11.39,4.78,4.77,4.75,4.41,4.71,4.73,4.81,4.75,4.64
Fall,2016,"BALCAN, M. (co-taught)",MLG,10601,MACHINE LEARNING,B,Lect,116,161,72%,14.23,4.25,4.24,4.3,3.98,4.31,4.16,4.65,4.03,4.12
Fall,2016,"GORMLEY, M. (co-taught)",MLG,10601,MACHINE LEARNING,B,Lect,116,161,72%,14.34,4.32,4.21,4.2,4.08,4.17,4.02,4.63,3.88,4.09
Spring,2015,RONALD ROSENFELD,MLG,10601,MACHINE LEARNING,A,Lect,121,182,66%,12.39,4.5,4.45,4.46,4.3,4.52,4.47,4.62,4.43,4.43
Spring,2015,"Mitchell, T. (co-taught)",MLG,10601,MACHINE LEARNING,B,Lect,99,120,83%,13.47,4.59,4.58,4.64,4.41,4.7,4.69,4.77,4.7,4.57
Spring,2015,"BALCAN, M. (co-taught)",MLG,10601,MACHINE LEARNING,B,Lect,99,120,83%,13.44,4.36,3.97,3.94,4,4.18,3.62,4.39,3.58,4.02
Fall,2015,"GORDON, G. (co-taught)",MLG,10601,MACHINE LEARNING,A,Lect,91,118,77%,12.27,4.15,3.91,3.86,3.76,4.07,3.76,4.54,3.67,3.63
Fall,2015,"SINGH, A. (co-taught)",MLG,10601,MACHINE LEARNING,A,Lect,91,118,77%,11.71,4.09,3.94,4.01,3.75,4.02,3.79,4.46,3.77,3.67
Fall,2015,SE YOUNG KIM,MLG,10601,MACHINE LEARNING,B,Lect,137,199,69%,12.72,3.81,3.84,3.84,3.7,3.99,3.68,4.36,3.61,3.84
Fall,2015,"GORDON, G. (co-taught)",MLG,10601,MACHINE LEARNING,SV,Lect,8,11,73%,16.5,4.25,4,4.25,4.38,4.38,4.25,4.25,4.13,4.13
Fall,2015,"SINGH, A. (co-taught)",MLG,10601,MACHINE LEARNING,SV,Lect,8,11,73%,16.5,4,3.88,4,4,4,4,3.88,3.88,4
Spring,2014,RONALD ROSENFELD,MLG,10601,MACHINE LEARNING,A,Lect,83,128,65%,9.9,4.67,4.42,4.56,4.55,4.65,4.73,4.6,4.1,4.62
Spring,2014,SE YOUNG KIM,MLG,10601,MACHINE LEARNING,B,Lect,51,67,76%,12.94,4,3.76,3.67,3.84,3.96,4.2,3.72,3.8,4.06
Fall,2014,ZIV BAR-JOSEPH,MLG,10601,MACHINE LEARNING,A,Lect,77,114,68%,12.8,4.22,4.14,4.34,3.96,4.33,4.1,4.53,4.13,3.97
Fall,2014,WILLIAM COHEN,MLG,10601,MACHINE LEARNING,B,Lect,61,94,65%,12.54,3.52,3.33,3.49,3.21,3.64,3.03,4,3.11,3.25
Spring,2013,RONALD ROSENFELD,MLG,10601,MACHINE LEARNING,A,Lect,100,133,75%,13,4.49,4.29,4.41,4.39,4.43,4.58,4.47,4.2,4.48
Fall,2013,"XING, E. (co-taught)",MLG,10601,MACHINE LEARNING,A,Lect,121,163,74%,11.25,3.55,3.06,3.35,3.33,3.39,3.92,3.39,3.13,3.64
Fall,2013,"COHEN, W. (co-taught)",MLG,10601,MACHINE LEARNING,A,Lect,121,163,74%,11.31,3.5,2.97,3.24,3.15,3.26,3.81,3.27,3.16,3.41
Spring,2012,RONALD ROSENFELD,MLG,10601,MACHINE LEARNING,A,Lect,58,86,67%,10.53,4.19,4.19,4.16,4.24,4.55,4.25,4.33,3.81,4.38
Fall,2012,"BAR-JOSEPH, Z. (co-taught)",MLG,10601,MACHINE LEARNING,A,Lect,60,98,61%,10.7,3.9,3.69,3.87,3.85,4.13,3.65,3.83,3.77,4.05
Fall,2012,"Mitchell, T. (co-taught)",MLG,10601,MACHINE LEARNING,A,Lect,60,98,61%,10.69,4.43,4.57,4.6,4.63,4.77,4.52,4.53,4.32,4.6
Spring,2011,RONALD ROSENFELD,MLG,10601,MACHINE LEARNING,A,Lect,57,83,69%,9.5,4.49,4.65,4.58,4.63,4.68,4.63,4.58,4.26,4.7
Fall,2011,"Mitchell, T. (co-taught)",MLG,10601,MACHINE LEARNING,A,Lect,61,96,64%,10.8,4.55,4.56,4.67,4.52,4.77,4.58,4.61,4.27,4.75
Fall,2011,"SINGH, A. (co-taught)",MLG,10601,MACHINE LEARNING,A,Lect,61,96,64%,10.38,4.32,4.2,4.37,4.27,4.59,4.24,4.37,4.14,4.37
Spring,2010,RONALD ROSENFELD,MLG,10601,MACHINE LEARNING,A,Lect,28,43,65%,9.71,4.36,4.43,4.43,4.43,4.71,4.54,4.54,3.96,4.57
Fall,2010,ZIV BAR-JOSEPH,MLG,10601,MACHINE LEARNING,A,Lect,31,50,62%,11.4,4.26,4.13,4.26,4.45,4.55,4.26,4.39,4.03,4.45
Fall,2016,WILLIAM COHEN,MLG,10605,MCH LRNG LRG DTAST,A,Lect,77,107,72%,12.57,4.62,4.61,4.57,4.43,4.61,4.38,4.86,4.27,4.55
Spring,2015,WILLIAM COHEN,MLG,10605,MCH LRNG LRG DTAST,A,Lect,83,118,70%,12.66,3.81,3.6,3.7,3.47,3.88,3.63,4.17,3.47,3.51
Fall,2015,WILLIAM COHEN,MLG,10605,MCH LRNG LRG DTAST,A,Lect,60,87,69%,13.55,4.22,4.12,4.13,3.92,4.3,3.92,4.55,3.77,4.17
Spring,2014,WILLIAM COHEN,MLG,10605,MCH LRNG LRG DTAST,A,Lect,44,70,63%,11.98,4.32,4.39,4.16,4.25,4.36,4.66,4.18,4.27,4.3
Spring,2013,WILLIAM COHEN,MLG,10605,MCH LRNG LRG DTAST,A,Lect,39,58,67%,11.77,4.33,4.31,4.33,4.36,4.36,4.64,4.31,4.18,4.44
Spring,2012,WILLIAM COHEN,MLG,10605,MCH LRNG LRG DTAST,A,Lect,24,38,63%,9.06,4.82,4.59,4.82,4.69,5,4.82,4.65,4.53,4.82
Fall,2015,WILLIAM COHEN,MLG,10611,DATA ANALYSIS PROJCT,A,Lect,1,5,20%,11,3,3,3,3,3,3,3,3,3
Spring,2016,MIN KYUNG LEE,MLG,10620,INDEP STUDY: RESRCH,B,Lect,5,9,56%,8.6,4.8,4.6,4.6,4.6,4.8,4.8,5,4.6,4.6
Summer,2016,WILLIAM COHEN,MLG,10635,PRACTICUM,R,Lect,1,7,14%,27,5,5,5,5,5,5,5,5,5
Spring,2016,WILLIAM COHEN,MLG,10697,READING & RESEARCH,A,Lect,1,7,14%,27,4,4,4,4,4,4,4,4,4
Spring,2015,WILLIAM COHEN,MLG,10697,READING & RESEARCH,A,Lect,2,3,67%,25.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
