Summer,2016,REMI VAN COMPERNOLLE,ML,82101,ELEMENTARY FRENCH I,S,Lect,2,2,100%,17,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Spring,2016,ESTER HOOGSTADEN,ML,82101,ELEMENTARY FRENCH I,A,Lect,9,13,69%,8.67,5,5,5,5,4.88,5,5,5,5
Fall,2016,Gerdine ULYSSE,ML,82101,ELEMENTARY FRENCH I,A,Lect,8,9,89%,9.88,4.75,4.63,4.75,4.75,4.75,4.75,4.75,4.75,4.75
Fall,2016,ESTER HOOGSTADEN,ML,82101,ELEMENTARY FRENCH I,B,Lect,9,12,75%,7.67,4.78,4.89,4.78,4.89,4.67,4.78,4.89,4.78,4.67
Summer,2015,REMI VAN COMPERNOLLE,ML,82101,ELEMENTARY FRENCH I,S,Lect,2,4,50%,16,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Summer,2015,MICHAEL WEST,ML,82101,ELEMENTARY FRENCH I,U,Lect,3,3,100%,13,5,5,5,5,5,5,5,5,5
Spring,2015,MICHAEL WEST,ML,82101,ELEMENTARY FRENCH I,A,Lect,12,19,63%,7.5,5,4.5,4.83,4.92,5,4.92,5,4.75,4.67
Fall,2015,MICHAEL WEST,ML,82101,ELEMENTARY FRENCH I,A,Lect,9,21,43%,6.33,5,4.89,5,4.78,5,5,5,4.89,4.67
Fall,2015,ESTER HOOGSTADEN,ML,82101,ELEMENTARY FRENCH I,B,Lect,13,16,81%,8.25,4.92,4.77,4.69,4.85,4.69,4.69,4.69,4.77,4.69
Summer,2014,MICHAEL WEST,ML,82101,ELEMENTARY FRENCH I,U,Lect,2,2,100%,17,4.5,4.5,4.5,5,4.5,5,4.5,5,4.5
Spring,2014,ESTER HOOGSTADEN,ML,82101,ELEMENTARY FRENCH I,A,Lect,11,12,92%,9.36,5,4.91,4.91,4.64,4.91,4.91,5,5,4.82
Fall,2014,ESTER HOOGSTADEN,ML,82101,ELEMENTARY FRENCH I,A,Lect,10,17,59%,8.6,5,4.9,4.9,4.7,4.8,5,4.9,5,4.9
