Summer,2016,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,S,Lect,1,5,20%,5,5,5,5,5,5,5,5,5,5
Spring,2016,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,1,Lect,16,33,48%,3.88,4.94,4.81,4.75,4.5,4.94,4.94,4.75,5,4.75
Spring,2016,STEPHEN GAROFF,PHY,33100,BASC EXPERMTL PHYSCS,2,Lect,18,34,53%,5.83,4.78,4.72,4.83,4.44,4.72,4.67,4.94,4.72,4.61
Fall,2016,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,1,Lect,26,35,74%,4.31,5,4.96,4.92,4.96,5,5,4.96,5,5
Fall,2016,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,2,Lect,26,35,74%,5,4.96,4.92,4.92,4.88,4.96,5,5,4.96,4.85
Spring,2015,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,1,Lect,15,32,47%,5,4.93,4.93,4.87,4.6,4.73,4.93,4.73,4.93,4.73
Spring,2015,STEPHEN GAROFF,PHY,33100,BASC EXPERMTL PHYSCS,2,Lect,13,24,54%,4.77,4.54,4.54,4.62,4.62,4.38,4.46,4.46,4.46,4.15
Fall,2015,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,1,Lect,19,29,66%,4.05,4.95,4.89,4.89,4.68,4.84,4.95,4.89,4.95,4.79
Fall,2015,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,2,Lect,16,27,59%,4,4.88,4.88,4.94,4.81,4.69,4.94,5,4.94,5
Summer,2014,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,S,Lect,2,4,50%,11,5,5,5,5,4.5,4.5,5,5,5
Spring,2014,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,1,Lect,18,31,58%,4.5,4.89,4.75,4.72,4.56,4.61,4.78,4.83,4.78,4.67
Spring,2014,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,2,Lect,19,27,70%,3.74,4.95,4.84,4.79,4.74,4.74,4.84,5,4.95,4.84
Fall,2014,BARRY LUOKKALA,PHY,33100,BASC EXPERMTL PHYSCS,1,Lect,8,13,62%,5.75,4.75,4.5,4.63,3.88,4.75,4.75,4.75,4.63,4.38
Fall,2014,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,2,Lect,20,31,65%,4.05,5,5,4.9,4.9,4.9,5,4.95,5,4.95
Summer,2013,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,S,Lect,3,6,50%,5,5,5,5,5,5,5,5,5,5
Spring,2013,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,1,Lect,11,27,41%,3.2,5,5,5,5,5,5,5,5,5
Spring,2013,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,2,Lect,13,31,42%,5,4.85,4.85,4.92,4.77,4.92,4.77,4.85,4.77,4.83
Fall,2013,BARRY LUOKKALA,PHY,33100,BASC EXPERMTL PHYSCS,1,Lect,11,23,48%,3.91,4.64,4.73,4.36,4.09,4.36,4.55,4.64,4.27,4.36
Fall,2013,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,2,Lect,20,32,63%,4.55,4.95,4.95,4.95,4.7,4.8,4.9,4.95,4.95,4.85
Spring,2012,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,1,Lect,18,26,69%,3.83,4.67,4.83,4.83,4.33,4.67,4.89,4.89,4.89,4.56
Spring,2012,DAVID ANDERSON,PHY,33100,BASC EXPERMTL PHYSCS,2,Lect,16,31,52%,3.31,4.88,4.8,4.81,4.63,4.75,4.81,4.94,4.94,4.81
Fall,2012,BARRY LUOKKALA,PHY,33100,BASC EXPERMTL PHYSCS,1,Lect,18,27,67%,4.65,4.5,4.78,4.67,4.39,4.72,4.67,4.78,4.56,4.44
